,,< CRI me a river  >,,,,,,,,,,,,,
,,Discover Collectively Open Science Projects,,,,,,,,,,,,,
,,"A major appeal of Open Science is the capacity to harness collective intelligence and face big scientific challenges, unmet when researchers are working in isolation. Below is a list of such projects. Work your way through the list (up to you if you wish to divide and conquer, work in couples or as a group) to discover the projects. Apply your score (1-5 low-to-high score), using 10 of the Vienna Open Science Principles (Do read here: https://viennaprinciples.org/) to rank the projects’ ‘openness’. Add a few comments on what you appreciated and what you think could be improved in these projects.",,,,,,,,,,,,,
,,https://viennaprinciples.org/,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,Project,Premise of the project in one simple phrase!,Accessibility,Discoverability,Publication,Reusability,Reproducibility,Transparency,Understandability,Collaboration,Evaluation,Public Good,Total score,positive remarks,Improvement remarks
,Human Brain Project,"brain-related data, scientific omni-channel",4,5,5,5,5,5,5,5,3,4,46,theme-rich content,more common citizen friendly? 
,Event Horizon Telescope,Organisation that enables connexion between astrophysicits worldwide,2,5,5,4,4,3,3,5,?,2,33,Enables connexion between researchers,This organisation does not help non-researchers understand the material that is shared. 
,Science Feedback,Fact checking on scientific results,5,3,5,4,2,5,5,4,5,5,43,The feedbacks on the articles and news are very clear. People can find the studies on which the feedback was based easily,"The interface is not easy to manipulate, it needs a lot of focus. It is not easy to go back from the sub sections (health, climate) to the main section (sciencefeedback)"
,Open Worm,Open source virtual organism (worm),5,5,5,5,?,5,4,5,5,3,42,"Truly open source, very collabrative and allows anyone to submit adjustments or suggestions. Very community based project.",
,Safecast,Safecast is an international volunteer driven non-profit organization which creates environmental data.,5,5,5,5,4,5,5,4,5,5,48,"it is clear, usefull, updated. Solidary","Anyone can colaborate, it is not clear how they process the raw data."
,SenseBox,"toolkit for digital education, citizen science and environmental monitoring",5,5,4,5,5,4,4,5,1,4,42,Many tutorials makes it really accessible. It emphasis on citizen sciences.,Many parts of the website are not translated to english.
,Kiron ,Accessible education for refugees worldwide,5,3,5,4,3,4,3,2,1,5,35,Online accessible and free. Giving tools and a lot of possibilities to people in disadvantage.,The site seems to give information by telling a story too much. Not totally inclusive.
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,Science Feedback,,,,,,,,,,,,,,
